example_id                                                     | status  | run_time        |
-------------------------------------------------------------- | ------- | --------------- |
./spec/controllers/api/v1/expenses_controller_spec.rb[1:1:1]   | passed  | 0.025 seconds   |
./spec/controllers/api/v1/expenses_controller_spec.rb[1:2:1]   | passed  | 0.01144 seconds |
./spec/controllers/api/v1/expenses_controller_spec.rb[1:3:1:1] | passed  | 0.02157 seconds |
./spec/controllers/api/v1/expenses_controller_spec.rb[1:3:1:2] | passed  | 0.02036 seconds |
./spec/controllers/api/v1/expenses_controller_spec.rb[1:3:2:1] | passed  | 0.03544 seconds |
./spec/models/expense_spec.rb[1:1]                             | pending | 0.00003 seconds |
./spec/requests/api/v1/expenses_spec.rb[1:1:1]                 | passed  | 0.24367 seconds |
./spec/routing/api/v1/expenses_routing_spec.rb[1:1:1]          | passed  | 0.00146 seconds |
./spec/routing/api/v1/expenses_routing_spec.rb[1:1:2]          | passed  | 0.0078 seconds  |
./spec/routing/api/v1/expenses_routing_spec.rb[1:1:3]          | passed  | 0.00139 seconds |
